#kidid,kidid+1,F0(GHz),Q
218.0,219.0,396.145832795,429.666950855
219.0,220.0,385.116672308,416.325739544
220.0,221.0,375.038067868,405.627494173
221.0,222.0,355.55692067,253.392354469
222.0,223.0,365.233342973,418.24935025
223.0,224.0,346.176785534,350.110324823
224.0,225.0,337.017167306,344.147747199
225.0,226.0,328.207537139,229.016208291
226.0,227.0,319.396100426,341.646324493
227.0,228.0,302.616645093,266.554280137
228.0,229.0,294.524818874,306.737693896
229.0,230.0,286.514664606,298.018607179
230.0,231.0,279.001084947,388.830968645
231.0,232.0,271.576962876,364.654694745
232.0,233.0,257.268354846,352.985828793
233.0,234.0,264.281909234,316.350489741
234.0,235.0,250.306798238,353.209973581
235.0,236.0,243.642026105,340.897653562
236.0,237.0,237.07320304,238.20803671
237.0,238.0,230.685654471,341.458777142
238.0,239.0,224.597624942,354.224970772
239.0,240.0,218.535409439,274.241240218
240.0,241.0,212.673773366,340.093106017
241.0,242.0,207.056894403,285.280492679
242.0,243.0,383.757220276,352.603018576
243.0,244.0,373.717243704,392.12640061
244.0,245.0,363.896584694,336.614062463
245.0,246.0,354.210050755,303.467335895
246.0,247.0,335.707408099,336.200513668
247.0,248.0,344.853530209,329.423470371
248.0,249.0,326.999963558,158.677453573
249.0,250.0,318.174563747,324.600582428
250.0,251.0,309.649924287,333.045086884
251.0,252.0,301.392463459,444.711443712
252.0,253.0,293.371064404,301.137048111
253.0,254.0,285.60384057,415.742307037
254.0,255.0,270.465077417,249.355167267
255.0,256.0,277.818922748,328.232955972
256.0,257.0,263.247721204,317.921634009
257.0,258.0,256.253245084,335.559711443
258.0,259.0,249.327741575,296.887300973
259.0,260.0,236.186041766,356.505487772
260.0,261.0,242.672052419,276.288065144
261.0,262.0,229.922189655,309.440040282
262.0,263.0,223.667701768,295.342832819
263.0,264.0,217.737727766,270.859979902
264.0,265.0,211.852155614,344.090666469
265.0,266.0,206.249761215,299.479717912
266.0,267.0,382.378158011,405.294945762
267.0,268.0,372.333598514,362.460625941
268.0,269.0,362.512077129,266.504635328
269.0,270.0,343.448906726,296.955463217
270.0,271.0,352.776430526,403.158457071
271.0,272.0,334.430864498,369.364623613
272.0,273.0,325.555706174,328.340023877
273.0,274.0,316.896645211,357.540910462
274.0,275.0,308.531710993,382.027155014
275.0,276.0,300.260935997,311.024607656
276.0,277.0,292.120759938,370.634873919
277.0,278.0,284.385885941,263.684518658
278.0,279.0,276.86443017,399.583536173
279.0,280.0,269.439468663,365.936566305
280.0,281.0,262.209779196,289.320899781
281.0,282.0,248.397367114,290.247949498
282.0,283.0,255.265694627,307.838491767
283.0,284.0,241.745655516,326.225582237
284.0,285.0,235.276627783,326.255214069
285.0,286.0,228.991402693,283.468077871
286.0,287.0,222.874864209,306.264914443
287.0,288.0,211.024879863,251.707534188
288.0,289.0,391.175203578,269.814029256
289.0,290.0,205.482049672,267.743830363
290.0,291.0,380.862544831,327.559635446
291.0,292.0,370.716654679,290.286214551
292.0,293.0,360.576508012,175.634391652
293.0,294.0,351.497467585,340.846594334
294.0,295.0,342.114570124,378.422090033
295.0,296.0,333.135678167,337.335952179
296.0,297.0,324.230052581,374.810019785
297.0,298.0,315.802279465,393.543604434
298.0,299.0,307.158441184,293.997114983
299.0,300.0,299.051983055,332.918470063
300.0,301.0,283.22737499,334.408322868
301.0,302.0,291.205885526,457.476752244
302.0,303.0,275.751964579,281.970835727
303.0,304.0,268.422615249,320.353563164
304.0,305.0,261.234547031,284.511188074
305.0,306.0,254.225601942,320.441594857
306.0,307.0,247.470321499,263.067663463
307.0,308.0,240.798922696,326.124221531
308.0,309.0,234.349493133,333.066748067
309.0,310.0,228.063882014,329.161505009
310.0,311.0,221.947867738,302.127487895
311.0,312.0,216.132837948,333.230734431
312.0,313.0,210.257667035,306.145162426
313.0,314.0,389.754895098,300.346481516
314.0,315.0,379.503786413,374.097412968
315.0,316.0,369.325654574,301.753067676
316.0,317.0,360.135843118,340.224797459
317.0,318.0,350.024190566,301.625288814
318.0,319.0,340.843375053,345.734959454
319.0,320.0,331.680563962,347.639060615
320.0,321.0,323.072831452,316.830309419
321.0,322.0,314.567086446,272.726008565
322.0,323.0,306.114860472,312.003339991
323.0,324.0,297.99600824,446.942739733
324.0,325.0,289.870566627,290.634021941
325.0,326.0,282.220155149,402.839388143
326.0,327.0,274.655854473,435.011807259
327.0,328.0,267.291250546,320.078645596
328.0,329.0,260.218791598,305.048679288
329.0,330.0,253.238260378,346.138597098
330.0,331.0,246.465833576,327.222361552
331.0,332.0,239.942012331,265.37031911
332.0,333.0,233.426701326,349.957024095
333.0,334.0,227.179344636,277.305760273
334.0,335.0,221.109657486,374.109247888
335.0,336.0,209.438881627,282.921091972
336.0,337.0,215.223322278,339.249975514
337.0,338.0,nan,nan
338.0,339.0,nan,nan
339.0,340.0,nan,nan
340.0,341.0,nan,nan
